"Sample_ID","N","mean_concentration_ng.uL","sd","se","ci"
"0423ASHC_01",2,9.81,0.692964645562817,0.49,6.2260403207256
"0423ASHC_02",2,21.35,1.20208152801713,0.85,10.8002740257485
"0423ASHC_03",2,21.3,1.83847763108502,1.3,16.5180661570271
"0423ASHC_04",2,12.25,0.777817459305203,0.550000000000001,6.98841260489609
"0423ASHC_05",2,24.3,1.4142135623731,1,12.7062047361747
"0423ASHC_06",2,17.65,0.777817459305201,0.549999999999999,6.98841260489607
"0423ASHC_07",2,24.9,0,0,0
"0423ASHC_08",2,16.5,0.141421356237312,0.100000000000001,1.27062047361749
"0423ASHC_09",2,22.3,0.42426406871193,0.300000000000001,3.81186142085242
"0423ASHC_10",2,31.3,0.141421356237309,0.0999999999999996,1.27062047361746
"0423ASHC_11",2,36.6,1.13137084989848,0.800000000000001,10.1649637889398
"0423ASHC_12",2,25.85,0.919238815542512,0.65,8.25903307851356
"0423ASHC_13",2,28.9,1.4142135623731,1,12.7062047361747
"0423ASHC_14",2,36.15,1.20208152801713,0.850000000000001,10.8002740257485
"0423ASHC_15",2,27,0,0,0
"0423ASHC_16",2,20.75,0.494974746830585,0.350000000000001,4.44717165766116
"0423ASHC_17",2,27.05,1.76776695296637,1.25,15.8827559202184
"0423ASHC_18",2,27.15,1.76776695296637,1.25,15.8827559202184
"0423ASHC_19",2,24.5,3.53553390593274,2.5,31.7655118404367
"0423ASHC_20",2,14.01,16.1078924754296,11.39,144.72367194503
"0423ASHC_21",2,33.1,3.53553390593274,2.5,31.7655118404367
"0423ASHC_22",2,31.5,2.82842712474619,2,25.4124094723494
"0423ASHC_23",2,30.45,0.777817459305203,0.550000000000001,6.98841260489609
"0423ASHC_24",2,24.65,0.353553390593274,0.25,3.17655118404367
"0423ASHC_25",2,80.4,4.5254833995939,3.2,40.659855155759
"0423ASHC_26",2,24.6,2.82842712474619,2,25.4124094723494
"0423ASHC_27",2,29.3,4.66690475583121,3.3,41.9304756293765
"0423ASHC_28",2,25.85,5.1618795026618,3.65,46.3776472870376
"0423ASHC_29",2,60,9.61665222413704,6.8,86.4021922059879
"0423ASHC_30",2,45.35,7.70746391493337,5.45,69.2488158121521
"0423FENC_01",2,29.75,4.87903679018718,3.45,43.8364063398027
"0423FENC_02",2,26.05,7.14177848998413,5.05,64.1663339176822
"0423FENC_03",2,41,12.7279220613579,9,114.355842625572
"0423FENC_04",2,57.4,21.2132034355964,15,190.59307104262
"0423FENC_05",2,44.7,13.717871555019,9.7,123.250185940895
"0423FENC_06",2,52,11.879393923934,8.4,106.732119783867
"0423FENC_07",2,29.4,5.79827560572969,4.1,52.0954394183162
"0423FENC_08",2,24.05,4.59619407771256,3.25,41.2951653925678
"0423FENC_09",2,26.25,6.43467170879758,4.55,57.8132315495949
"0423FENC_10",2,55.4,4.24264068711928,3,38.1186142085241
"0423FENC_11",2,36,7.91959594928933,5.6,71.1547465225783
"0423FENC_12",2,32.25,8.27314933988261,5.85,74.331297706622
"0423FENC_13",2,66.4,18.1019335983756,12.8,162.639420623036
"0423FENC_14",2,34.7,7.21248916810278,5.1,64.8016441544909
"0423FENC_15",2,55.4,5.939696961967,4.2,53.3660598919337
"0423FENC_16",2,101.3,25.0315800540038,17.7,224.899823830292
"0423FENC_17",2,39.8,4.80832611206853,3.4,43.201096102994
"0423FENC_18",2,40.6,5.37401153701776,3.8,48.2835779974638
"0423FENC_19",2,65.4,13.2936074863071,9.4,119.438324520042
"0423FENC_20",2,37,8.76812408671319,6.2,78.7784693642831
"0423FENC_21",2,29.35,7.14177848998413,5.05,64.1663339176822
"0423FENC_22",2,48,9.05096679918781,6.4,81.319710311518
"0423FENC_23",2,51.6,6.78822509939086,4.8,60.9897827336385
"0423FENC_24",2,46.6,7.07106781186548,5,63.5310236808735
"0423FENC_25",2,36.65,1.20208152801713,0.850000000000001,10.8002740257485
"0423FENC_26",2,36.85,3.46482322781408,2.45,31.130201603628
"0423FENC_27",2,23.35,12.3743686707646,8.75,111.179291441529
"0423FENC_28",2,51.2,5.65685424949238,4,50.8248189446988
"0423FENC_29",2,25.6,5.79827560572969,4.1,52.0954394183162
"0423FENC_30",2,38.2,1.97989898732234,1.4,17.7886866306446
"0424FENC_01",2,20.3,3.11126983722081,2.2,27.9536504195843
"0424FENC_02",2,43.9,5.79827560572969,4.1,52.0954394183163
"0424FENC_03",2,41,1.4142135623731,1,12.7062047361747
"0424FENC_04",2,94.6,10.4651803615609,7.4,94.0259150476927
"0424FENC_05",2,13.35,1.76776695296637,1.25,15.8827559202184
"0424FENC_06",2,42.4,5.09116882454314,3.6,45.7423370502289
"0424FENC_07",2,10.48,0.735391052434009,0.52,6.60722646281084
"0424FENC_08",2,27.1,2.12132034355964,1.5,19.059307104262
"0424FENC_09",2,28.3,3.53553390593274,2.5,31.7655118404367
"0424FENC_10",2,27.4,6.92964645562816,4.9,62.260403207256
"0424FENC_11",2,23.95,3.18198051533946,2.25,28.5889606563931
"0424FENC_12",2,31.6,1.13137084989847,0.799999999999999,10.1649637889397
"0424FENC_13",2,69.6,13.5764501987817,9.6,121.979565467277
"0424FENC_14",2,40,4.52548339959391,3.2,40.6598551557591
"0424FENC_15",2,71.2,5.65685424949238,4,50.8248189446988
"0424FENC_16",2,87.2,8.48528137423857,6,76.2372284170482
"0424FENC_17",2,40.2,4.24264068711928,3,38.1186142085241
"0424FENC_18",2,46.6,9.33380951166243,6.6,83.860951258753
"0424FENC_19",2,43,4.80832611206852,3.4,43.2010961029939
"0424FENC_20",2,26.6,2.12132034355964,1.5,19.059307104262
"0424FENC_21",2,20,2.54558441227157,1.8,22.8711685251145
"0424FENC_22",2,25.55,1.62634559672906,1.15,14.6121354466009
"0424FENC_23",2,20.7,2.68700576850888,1.9,24.1417889987319
"0424FENC_24",2,85.2,6.22253967444162,4.4,55.9073008391686
"0424FENC_25",2,27.85,3.04055915910216,2.15,27.3183401827756
"0424FENC_26",2,65.4,8.76812408671318,6.19999999999999,78.778469364283
"0424FENC_27",2,88.2,0.282842712474623,0.200000000000003,2.54124094723498
"0424FENC_28",2,33.95,4.87903679018718,3.45,43.8364063398027
"0424FENC_29",2,39.55,3.46482322781408,2.45,31.130201603628
"0424FENC_30",2,34,0.282842712474623,0.200000000000003,2.54124094723498
"0523ASHC_01",2,79.8,5.939696961967,4.2,53.3660598919338
"0523ASHC_02",2,85,3.11126983722081,2.2,27.9536504195844
"0523ASHC_03",2,62.6,2.54558441227158,1.8,22.8711685251145
"0523ASHC_04",2,75.6,4.5254833995939,3.2,40.659855155759
"0523ASHC_05",2,60.2,2.54558441227157,1.8,22.8711685251145
"0523ASHC_06",2,66,5.09116882454314,3.6,45.7423370502289
"0523ASHC_07",2,67.6,0.565685424949236,0.399999999999999,5.08248189446986
"0523ASHC_08",2,44.2,3.11126983722081,2.2,27.9536504195843
"0523ASHC_09",2,38.2,1.97989898732234,1.4,17.7886866306446
"0523ASHC_10",2,59.8,3.67695526217004,2.6,33.0361323140542
"0523ASHC_11",2,77.8,3.11126983722081,2.2,27.9536504195844
"0523ASHC_12",2,78.8,2.26274169979695,1.6,20.3299275778795
"0523ASHC_13",2,48.4,2.82842712474619,2,25.4124094723494
"0523ASHC_14",2,50.8,0.565685424949241,0.400000000000002,5.0824818944699
"0523ASHC_15",2,72.2,3.67695526217005,2.6,33.0361323140542
"0523ASHC_16",2,60,3.39411254969543,2.4,30.4948913668192
"0523ASHC_17",2,50,0.565685424949236,0.399999999999999,5.08248189446986
"0523ASHC_18",2,74,0.565685424949246,0.400000000000006,5.08248189446995
"0523ASHC_19",2,42.7,14.2835569799683,10.1,128.332667835364
"0523ASHC_20",2,40.4,0.565685424949236,0.399999999999999,5.08248189446986
"0523ASHC_21",2,52.6,0.282842712474618,0.199999999999999,2.54124094723493
"0523ASHC_22",2,69.4,0.282842712474613,0.199999999999996,2.54124094723488
"0523ASHC_23",2,49,3.11126983722081,2.2,27.9536504195844
"0523ASHC_24",2,57,0.282842712474623,0.200000000000003,2.54124094723498
"0523ASHC_25",2,40.75,5.16187950266179,3.65,46.3776472870376
"0523ASHC_26",2,41.75,3.7476659402887,2.65,33.6714425508629
"0523ASHC_27",2,43.2,1.13137084989848,0.800000000000001,10.1649637889398
"0523ASHC_28",2,42.6,3.67695526217005,2.6,33.0361323140542
"0523ASHC_29",2,39.85,1.34350288425444,0.949999999999999,12.0708944993659
"0523ASHC_30",2,49.4,9.89949493661167,7,88.9434331532228
"0523FENC_01",2,37.75,12.7986327394765,9.05,114.991152862381
"0523FENC_02",2,35.4,9.33380951166243,6.6,83.860951258753
"0523FENC_03",2,48,9.05096679918781,6.4,81.319710311518
"0523FENC_04",2,57.2,5.65685424949238,4,50.8248189446988
"0523FENC_05",2,47.6,6.78822509939086,4.8,60.9897827336385
"0523FENC_06",2,47.2,0.565685424949241,0.400000000000002,5.0824818944699
"0523FENC_07",2,39,10.4651803615609,7.4,94.0259150476927
"0523FENC_08",2,53.6,10.1823376490863,7.2,91.4846741004578
"0523FENC_09",2,47.35,13.930003589375,9.85,125.156116651321
"0523FENC_10",2,50.8,8.48528137423857,6,76.2372284170482
"0523FENC_11",2,37.7,6.64680374315355,4.7,59.7191622600211
"0523FENC_12",2,27.75,2.1920310216783,1.55,19.6946173410708
"0523FENC_13",2,46.7,23.3345237791561,16.5,209.652378146882
"0523FENC_14",2,37.7,6.08111831820431,4.3,54.6366803655512
"0523FENC_15",2,56.4,15.2735064736294,10.8,137.227011150687
"0523FENC_16",2,63.85,48.2953931550412,34.15,433.916891740366
"0523FENC_17",2,48.35,16.4755880016466,11.65,148.027285176435
"0523FENC_18",2,31.15,13.0814754519511,9.25,117.532393809616
"0523FENC_19",2,65.8,6.50538238691624,4.6,58.4485417864036
"0523FENC_20",2,38.05,4.45477272147525,3.15,40.0245449189503
